schemaVersion,recordType,source_name,source_url,startupName,pricingModel
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/0,OpenAI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/1,Anthropic,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/2,Cohere,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/3,Mistral AI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/4,Runway,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/5,OpenAI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/6,Anthropic,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/7,Cohere,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/8,Mistral AI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/9,Runway,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/10,OpenAI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/11,Anthropic,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/12,Cohere,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/13,Mistral AI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/14,Runway,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/15,OpenAI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/16,Anthropic,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/17,Cohere,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/18,Mistral AI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/19,Runway,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/20,OpenAI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/21,Anthropic,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/22,Cohere,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/23,Mistral AI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/24,Runway,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/25,OpenAI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/26,Anthropic,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/27,Cohere,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/28,Mistral AI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/29,Runway,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/30,OpenAI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/31,Anthropic,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/32,Cohere,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/33,Mistral AI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/34,Runway,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/35,OpenAI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/36,Anthropic,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/37,Cohere,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/38,Mistral AI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/39,Runway,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/40,OpenAI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/41,Anthropic,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/42,Cohere,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/43,Mistral AI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/44,Runway,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/45,OpenAI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/46,Anthropic,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/47,Cohere,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/48,Mistral AI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/49,Runway,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/50,OpenAI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/51,Anthropic,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/52,Cohere,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/53,Mistral AI,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/54,Runway,FREEMIUM
1.0,PRODUCT,ProductHunt,https://producthunt.com/posts/55,OpenAI,FREEMIUM
