schemaVersion,recordType,source_name,source_url,entityName,employeeCount
1.0,STARTUP,YCombinator,https://yc.com/companies/0,OpenAI,10
1.0,STARTUP,YCombinator,https://yc.com/companies/1,Anthropic,20
1.0,STARTUP,YCombinator,https://yc.com/companies/2,Cohere,30
1.0,STARTUP,YCombinator,https://yc.com/companies/3,Mistral AI,40
1.0,STARTUP,YCombinator,https://yc.com/companies/4,Runway,50
1.0,STARTUP,YCombinator,https://yc.com/companies/5,OpenAI,60
1.0,STARTUP,YCombinator,https://yc.com/companies/6,Anthropic,70
1.0,STARTUP,YCombinator,https://yc.com/companies/7,Cohere,80
1.0,STARTUP,YCombinator,https://yc.com/companies/8,Mistral AI,90
1.0,STARTUP,YCombinator,https://yc.com/companies/9,Runway,100
1.0,STARTUP,YCombinator,https://yc.com/companies/10,OpenAI,110
1.0,STARTUP,YCombinator,https://yc.com/companies/11,Anthropic,120
1.0,STARTUP,YCombinator,https://yc.com/companies/12,Cohere,130
1.0,STARTUP,YCombinator,https://yc.com/companies/13,Mistral AI,140
1.0,STARTUP,YCombinator,https://yc.com/companies/14,Runway,150
1.0,STARTUP,YCombinator,https://yc.com/companies/15,OpenAI,160
1.0,STARTUP,YCombinator,https://yc.com/companies/16,Anthropic,170
1.0,STARTUP,YCombinator,https://yc.com/companies/17,Cohere,180
1.0,STARTUP,YCombinator,https://yc.com/companies/18,Mistral AI,190
1.0,STARTUP,YCombinator,https://yc.com/companies/19,Runway,200
1.0,STARTUP,YCombinator,https://yc.com/companies/20,OpenAI,210
1.0,STARTUP,YCombinator,https://yc.com/companies/21,Anthropic,220
1.0,STARTUP,YCombinator,https://yc.com/companies/22,Cohere,230
1.0,STARTUP,YCombinator,https://yc.com/companies/23,Mistral AI,240
1.0,STARTUP,YCombinator,https://yc.com/companies/24,Runway,250
1.0,STARTUP,YCombinator,https://yc.com/companies/25,OpenAI,260
1.0,STARTUP,YCombinator,https://yc.com/companies/26,Anthropic,270
1.0,STARTUP,YCombinator,https://yc.com/companies/27,Cohere,280
1.0,STARTUP,YCombinator,https://yc.com/companies/28,Mistral AI,290
1.0,STARTUP,YCombinator,https://yc.com/companies/29,Runway,300
1.0,STARTUP,YCombinator,https://yc.com/companies/30,OpenAI,310
1.0,STARTUP,YCombinator,https://yc.com/companies/31,Anthropic,320
1.0,STARTUP,YCombinator,https://yc.com/companies/32,Cohere,330
1.0,STARTUP,YCombinator,https://yc.com/companies/33,Mistral AI,340
1.0,STARTUP,YCombinator,https://yc.com/companies/34,Runway,350
1.0,STARTUP,YCombinator,https://yc.com/companies/35,OpenAI,360
1.0,STARTUP,YCombinator,https://yc.com/companies/36,Anthropic,370
1.0,STARTUP,YCombinator,https://yc.com/companies/37,Cohere,380
1.0,STARTUP,YCombinator,https://yc.com/companies/38,Mistral AI,390
1.0,STARTUP,YCombinator,https://yc.com/companies/39,Runway,400
1.0,STARTUP,YCombinator,https://yc.com/companies/40,OpenAI,410
